,COD_CPPOP_CRI,IRPAR_USAGE_V12_MAX,IRPRO_USAGE_V12_MAX,QUA_INT_1_BRP,QUA_INT_MAX_BRP,CODTYP_CRT_TRAVAIL_CRI,COD_SITU_LOGT_CRI,COD_TYPE_MARCHE_CRI,IND_PRIMO_ACCEDT_CRI,TOP_NAT_FR_CRI,g_MNT_TOT_ASSURANCE_CRI,g_COUT_RACHAT_BRP,g_quotite,g_PCT_TEG_TAEG_CRI,g_MOY_ANC_PROF_BRP,g_BEST_APPORT_TX_BRP,defaut_36mois
3882,0,0,1,2,1,0,3,0,1,1,grp_1,grp_3,grp_1,grp_4,grp_1,grp_1,0
28632,0,2,1,0,0,0,1,0,1,1,grp_2,grp_3,grp_1,grp_3,grp_1,grp_1,0
30783,0,2,1,0,0,1,1,0,1,1,grp_1,grp_3,grp_1,grp_1,grp_3,grp_1,0
30947,0,0,1,0,0,0,2,0,1,1,grp_3,grp_3,grp_3,grp_4,grp_2,grp_2,0
32107,0,0,1,0,0,1,2,0,1,1,grp_1,grp_3,grp_1,grp_4,grp_1,grp_1,0
32296,0,0,1,0,0,0,2,0,1,1,grp_2,grp_3,grp_1,grp_4,grp_3,grp_2,0
34320,0,1,1,0,0,0,3,0,1,1,grp_2,grp_3,grp_1,grp_3,grp_1,grp_1,0
35052,0,1,1,2,1,2,1,0,1,1,grp_2,grp_3,grp_3,grp_3,grp_2,grp_3,0
35133,0,2,1,0,0,0,2,0,0,1,grp_2,grp_3,grp_1,grp_3,grp_2,grp_1,0
37900,0,2,1,0,1,0,1,0,0,1,grp_3,grp_3,grp_1,grp_3,grp_3,grp_2,0
39873,0,2,1,0,0,0,1,0,0,1,grp_1,grp_3,grp_1,grp_2,grp_3,grp_1,0
42276,0,2,1,1,0,0,3,1,1,1,grp_1,grp_3,grp_1,grp_3,grp_1,grp_1,0
43153,1,0,1,0,0,0,3,0,1,1,grp_1,grp_3,grp_1,grp_1,grp_2,grp_1,0
45180,0,2,1,2,1,0,2,0,0,0,grp_1,grp_3,grp_1,grp_4,grp_1,grp_1,0
45267,0,0,1,0,0,0,3,0,1,0,grp_1,grp_3,grp_1,grp_3,grp_3,grp_1,0
46685,0,2,1,2,1,0,2,0,0,1,grp_2,grp_3,grp_1,grp_4,grp_1,grp_1,0
47890,0,0,1,0,0,0,1,0,0,1,grp_2,grp_3,grp_1,grp_4,grp_1,grp_2,0
48123,1,2,1,0,0,2,3,0,1,1,grp_1,grp_3,grp_1,grp_1,grp_1,grp_1,0
48253,0,1,1,0,0,0,3,0,1,1,grp_2,grp_3,grp_3,grp_3,grp_1,,0
